1,101,300,201,200,301,100,11,0,111,311,211
101,201,1,301,300,11,200,111,100,211,0,311
201,301,101,11,1,111,300,211,200,311,100,0
301,11,201,111,101,211,1,311,300,0,200,100
11,111,301,211,201,311,101,0,1,100,300,200
111,211,11,311,301,0,201,100,101,200,1,300
211,311,111,0,11,100,301,200,201,300,101,1
311,0,211,100,111,200,11,300,301,1,201,101
0,100,311,200,211,300,111,1,11,101,301,201
100,200,0,300,311,1,211,101,111,201,11,301
200,300,100,1,0,101,311,201,211,301,111,11
300,1,200,101,100,201,0,301,311,11,211,111
